"","dyad_new_id","side_a_new_id","side_b_new_id","conflict_new_id","country","gwid","sidea","sideb","gwgroupid","claim","recruitment","support","statename","group","type_of_violence","year","sidea_nogov","initiator_state","min_year","max_year","Confirmed"
"1",12102,94,528,374,"Rwanda",517,"Government of Rwanda","FDLR",51701000,1,1,1,"Rwanda","Hutu",1,2001,"Rwanda",0,2001,2001,1
"2",474,121,205,234,"Israel",666,"Government of Israel","PFLP",66601200,1,1,1,"Israel","Palestinian Arabs",1,2003,"Israel",0,2001,2003,1
"3",474,121,205,234,"Israel",666,"Government of Israel","PFLP",66601200,1,1,1,"Israel","Palestinian Arabs",1,2001,"Israel",0,2001,2003,1
"4",474,121,205,234,"Israel",666,"Government of Israel","PFLP",66601200,1,1,1,"Israel","Palestinian Arabs",1,2002,"Israel",0,2001,2003,1
"5",475,121,206,234,"Lebanon",666,"Government of Israel","PFLP-GC",66601200,1,1,1,"Israel","Palestinian Arabs",1,2002,"Israel",0,2000,2002,1
"6",475,121,206,234,"Lebanon",666,"Government of Israel","PFLP-GC",66601200,1,1,1,"Israel","Palestinian Arabs",1,2000,"Israel",0,2000,2002,1
"7",475,121,206,234,"Lebanon",666,"Government of Israel","PFLP-GC",66601200,1,1,1,"Israel","Palestinian Arabs",1,2001,"Israel",0,2000,2002,1
"8",476,121,207,234,"Israel",666,"Government of Israel","Fatah",66601200,1,1,1,"Israel","Palestinian Arabs",1,2000,"Israel",0,2000,2002,1
"9",476,121,207,234,"Israel",666,"Government of Israel","Fatah",66601200,1,1,1,"Israel","Palestinian Arabs",1,2002,"Israel",0,2000,2002,1
"10",476,121,207,234,"Israel",666,"Government of Israel","Fatah",66601200,1,1,1,"Israel","Palestinian Arabs",1,2001,"Israel",0,2000,2002,1
"11",477,121,209,234,"Israel",666,"Government of Israel","Hamas",66601200,1,1,1,"Israel","Palestinian Arabs",1,2002,"Israel",0,2000,2003,1
"12",477,121,209,234,"Israel",666,"Government of Israel","Hamas",66601200,1,1,1,"Israel","Palestinian Arabs",1,2000,"Israel",0,2000,2003,1
"13",477,121,209,234,"Israel",666,"Government of Israel","Hamas",66601200,1,1,1,"Israel","Palestinian Arabs",1,2003,"Israel",0,2000,2003,1
"14",477,121,209,234,"Israel",666,"Government of Israel","Hamas",66601200,1,1,1,"Israel","Palestinian Arabs",1,2001,"Israel",0,2000,2003,1
"15",478,121,208,234,"Israel",666,"Government of Israel","PIJ",66601200,1,1,NA,"Israel","Palestinian Arabs",1,2002,"Israel",0,2000,2003,1
"16",478,121,208,234,"Israel",666,"Government of Israel","PIJ",66601200,1,1,NA,"Israel","Palestinian Arabs",1,2001,"Israel",0,2000,2003,1
"17",478,121,208,234,"Israel",666,"Government of Israel","PIJ",66601200,1,1,NA,"Israel","Palestinian Arabs",1,2000,"Israel",0,2000,2003,1
"18",478,121,208,234,"Israel",666,"Government of Israel","PIJ",66601200,1,1,NA,"Israel","Palestinian Arabs",1,2003,"Israel",0,2000,2003,1
"19",479,121,210,234,"Israel",666,"Government of Israel","PNA",66601200,1,1,1,"Israel","Palestinian Arabs",1,2002,"Israel",0,2000,2002,1
"20",479,121,210,234,"Israel",666,"Government of Israel","PNA",66601200,1,1,1,"Israel","Palestinian Arabs",1,2001,"Israel",0,2000,2002,1
"21",479,121,210,234,"Israel",666,"Government of Israel","PNA",66601200,1,1,1,"Israel","Palestinian Arabs",1,2000,"Israel",0,2000,2002,1
"22",480,121,211,234,"Israel",666,"Government of Israel","AMB",66601200,1,1,1,"Israel","Palestinian Arabs",1,2003,"Israel",0,2000,2003,1
"23",480,121,211,234,"Israel",666,"Government of Israel","AMB",66601200,1,1,1,"Israel","Palestinian Arabs",1,2001,"Israel",0,2000,2003,1
"24",480,121,211,234,"Israel",666,"Government of Israel","AMB",66601200,1,1,1,"Israel","Palestinian Arabs",1,2002,"Israel",0,2000,2003,1
"25",480,121,211,234,"Israel",666,"Government of Israel","AMB",66601200,1,1,1,"Israel","Palestinian Arabs",1,2000,"Israel",0,2000,2003,1
"26",481,121,212,234,"Israel",666,"Government of Israel","PRC",66601200,1,1,NA,"Israel","Palestinian Arabs",1,2002,"Israel",0,2001,2002,1
"27",481,121,212,234,"Israel",666,"Government of Israel","PRC",66601200,1,1,NA,"Israel","Palestinian Arabs",1,2001,"Israel",0,2001,2002,1
"28",521,116,231,259,"Iraq",645,"Government of Iraq","SCIRI",64502000,1,1,1,"Iraq","Shi'a Arabs",1,1991,"Iraq",0,1991,1991,1
"29",532,119,242,260,"Lebanon",660,"Government of Lebanon","Forces of Michel Aoun",66005000,1,1,1,"Lebanon","Maronite Christians",1,1989,"Lebanon",1,1989,1990,1
"30",532,119,242,260,"Lebanon",660,"Government of Lebanon","Forces of Michel Aoun",66005000,1,1,1,"Lebanon","Maronite Christians",1,1990,"Lebanon",1,1989,1990,1
"31",562,146,258,269,"Nepal",790,"Government of Nepal","CPN-M",79001000,1,1,1,"Nepal","Caste Hill Hindu Elite",1,2005,"Nepal",0,2003,2006,1
"32",562,146,258,269,"Nepal",790,"Government of Nepal","CPN-M",79001000,1,1,1,"Nepal","Caste Hill Hindu Elite",1,2006,"Nepal",0,2003,2006,1
"33",562,146,258,269,"Nepal",790,"Government of Nepal","CPN-M",79001000,1,1,1,"Nepal","Caste Hill Hindu Elite",1,2004,"Nepal",0,2003,2006,1
"34",562,146,258,269,"Nepal",790,"Government of Nepal","CPN-M",79001000,1,1,1,"Nepal","Caste Hill Hindu Elite",1,2003,"Nepal",0,2003,2006,1
