"ag_id","groupname","year","ag_irrelevant_flag","ag_monop_flag","ag_dominant_flag","ln_ag_area_sqkm","ag_pop","ln_ag_pop","ag_egip_share","ag_excl_share","ag_rlvt_share","ag_irrlvt_share","ag_up2jun_share","ag_excl_incr","ag_excl_decr","ag_onset_ko_flag","ag_onset_ko_terr_flag","ag_onset_ko_gov_flag","ag_incidence_flag","ag_incidence_terr_flag","ag_incidence_gov_flag","ag_incidence_flag_lag","ag_incidence_terr_flag_lag","ag_incidence_gov_flag_lag","ag_warhist","ag_peaceyears","ag_warhist_terr","ag_peaceyears_terr","ag_warhist_gov","ag_peaceyears_gov"
1190119,"Guaraní­ and other eastern indigenous groups",1956,0,0,0,17.5748010448096,126060,5.1005773027896,0,0.274551800729811,0.274551800729811,0.725448199270189,0.274551800729811,0.00257354539981885,0.725448199270189,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10
206000,"Arab Americans",1948,1,0,0,,653300,5.81511265818981,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
1020102,"Indigenous peoples",1968,0,0,0,16.2790312817548,523650,5.71904110786986,0,0.662713644609949,0.662713644609949,0.337286355390051,0.662713644609949,0,0.0106156710456017,0,0,0,0,0,0,0,0,0,0,22,0,22,0,22
1150115,"Indigenous peoples of the Andes",1958,0,0,0,17.8636651270367,4881800,6.68857998305421,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,12
1190119,"Guaraní­ and other eastern indigenous groups",1957,0,0,0,17.5748010448096,128980,5.11052237260132,0,0.275236470770662,0.275236470770662,0.724763529229338,0.275236470770662,0.00325821544066976,0.724763529229338,0,0,0,0,0,0,0,0,0,0,11,0,11,0,11
203000,"African Americans",1946,0,0,0,18.0157869215273,19287860,7.28528404507532,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206000,"Arab Americans",1949,1,0,0,,653300,5.81511265818981,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
1020102,"Indigenous peoples",1969,0,0,0,16.2790312817548,542700,5.73455982157948,0,0.66272341993735,0.66272341993735,0.33727658006265,0.66272341993735,9.77532740089193e-06,0.0106058957182008,0,0,0,0,0,0,0,0,0,0,23,0,23,0,23
1200120,"Mapuche",2013,0,0,0,17.880567872876,1947850,6.28955550968811,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67,0,67,0,67
1150115,"Indigenous peoples of the Andes",1959,0,0,0,17.8636651270367,5012670,6.70006911456788,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,13
