"gwgroupid","year","egip_claim_gen_irredentism","egip_claim_dir_autonomy1","egip_claim_dir_autonomy2","egip_claim_dir_autonomy3","egip_claim_dir_autonomy4","egip_claim_dir_secession1","egip_claim_dir_secession2","egip_claim_dir_irredentism1","egip_claim_dir_irredentism2","egip_claim_dir_irredentism3","egip_claim"
70004000,1946,,,,,,,,,,,0
70004000,1947,,,,,,,,,,,0
70004000,1948,,,,,,,,,,,0
70004000,1949,,,,,,,,,,,0
70004000,1950,,,,,,,,,,,0
70004000,1951,,,,,,,,,,,0
70004000,1952,,,,,,,,,,,0
70004000,1953,,,,,,,,,,,0
70004000,1954,,,,,,,,,,,0
70004000,1955,,,,,,,,,,,0
70004000,1956,,,,,,,,,,,0
70004000,1957,,,,,,,,,,,0
70004000,1958,,,,,,,,,,,0
70004000,1959,,,,,,,,,,,0
70004000,1960,,,,,,,,,,,0
70004000,1961,,,,,,,,,,,0
70004000,1962,,,,,,,,,,,0
70004000,1963,,,,,,,,,,,0
70004000,1964,,,,,,,,,,,0
70004000,1965,,,,,,,,,,,0
70004000,1966,,,,,,,,,,,0
70004000,1967,,,,,,,,,,,0
70004000,1968,,,,,,,,,,,0
70004000,1969,,,,,,,,,,,0
70004000,1970,,,,,,,,,,,0
70004000,1971,,,,,,,,,,,0
70004000,1972,,,,,,,,,,,0
70004000,1973,,,,,,,,,,,0
70004000,1974,,,,,,,,,,,0
70004000,1975,,,,,,,,,,,0
70004000,1976,,,,,,,,,,,0
70004000,1977,,,,,,,,,,,0
70004000,1978,,,,,,,,,,,0
70004000,1979,,,,,,,,,,,0
70004000,1980,,,,,,,,,,,0
70004000,1981,,,,,,,,,,,0
70004000,1982,,,,,,,,,,,0
70004000,1983,,,,,,,,,,,0
70004000,1984,,,,,,,,,,,0
70004000,1985,,,,,,,,,,,0
70004000,1986,,,,,,,,,,,0
70004000,1987,,,,,,,,,,,0
70004000,1988,,,,,,,,,,,0
70004000,1989,,,,,,,,,,,0
70004000,1990,,,,,,,,,,,0
70004000,1991,,,,,,,,,,,0
70004000,1992,,,,,,,,,,,0
70004000,1993,,,,,,,,,,,0
70004000,1994,,,,,,,,,,,0
70004000,1995,,,,,,,,,,,0
70004000,1996,,,,,,,,,,,0
70004000,1997,,,,,,,,,,,0
70004000,1998,,,,,,,,,,,0
70004000,1999,,,,,,,,,,,0
70004000,2000,,,,,,,,,,,0
70004000,2001,,,,,,,,,,,0
70004000,2002,,,,,,,,,,,0
70004000,2003,,,,,,,,,,,0
70004000,2004,,,,,,,,,,,0
70004000,2005,,,,,,,,,,,0
70004000,2006,,,,,,,,,,,0
70004000,2007,,,,,,,,,,,0
70004000,2008,,,,,,,,,,,0
70004000,2009,,,,,,,,,,,0
70004000,2010,,,,,,,,,,,0
70004000,2011,,,,,,,,,,,0
70004000,2012,,,,,,,,,,,0
70004000,2013,,,,,,,,,,,0
70004000,2014,,,,,,,,,,,
70004000,2015,,,,,,,,,,,
70004000,2016,,,,,,,,,,,
70004000,2017,,,,,,,,,,,
70005000,1946,,,,,,,,,,,0
70005000,1947,,,,,,,,,,,0
70005000,1948,,,,,,,,,,,0
70005000,1949,,,,,,,,,,,0
70005000,1950,,,,,,,,,,,0
70005000,1951,,,,,,,,,,,0
70005000,1952,,,,,,,,,,,0
70005000,1953,,,,,,,,,,,0
70005000,1954,,,,,,,,,,,0
70005000,1955,,,,,,,,,,,0
70005000,1956,,,,,,,,,,,0
70005000,1957,,,,,,,,,,,0
70005000,1958,,,,,,,,,,,0
70005000,1959,,,,,,,,,,,0
70005000,1960,,,,,,,,,,,0
70005000,1961,,,,,,,,,,,0
70005000,1962,,,,,,,,,,,0
70005000,1963,,,,,,,,,,,0
