gwgroupid,geoepr_group,eur_map_group
36546000,Abkhaz,Tscherkesses
37207000,Abkhazians,Tscherkesses
36540000,Adyghe,Tscherkesses
65203000,Alawi,
66011000,Alawites,
33901000,Albanians,Albanais
34006000,Albanians,Albanais
34104000,Albanians,Albanais
34302000,Albanians,Albanais
34506000,Albanians,Albanais
34701000,Albanians,Albanais
32505000,Aostans (French speakers),Francais
32505000,Aostans (French speakers),Romands
63001000,Arabs,Arabes
36508000,Armenians,Arméniens
37101000,Armenians,Arméniens
37202000,Armenians,Arméniens
37304000,Armenians,Arméniens
37104000,Assyrians,
64504000,Assyrians,
30501000,Austrians,Allemands
36523000,Avars,
36509000,Azeri,Turcs Iraniens
37205000,Azeri,Turcs Iraniens
37301000,Azeri,Turcs Iraniens
63004000,Azeri,Turcs Iraniens
36507000,Bashkirs,Bachkirs
36507000,Bashkirs,Mechtchères et Teptiars
22002000,Basques,Basques
23004000,Basques,Basques
34004000,Bosniak/Muslims,Serbo-Croates
34103000,Bosniak/Muslims,Serbo-Croates
34706000,Bosniaks,Serbo-Croates
34504000,Bosniaks/Muslims,Serbo-Croates
34601000,Bosniaks/Muslims,Serbo-Croates
35501000,Bulgarians,Bulgares
35905000,Bulgarians,Bulgares
29004000,Byelorussians,Blanc-Russes
36504000,Byelorussians,Blanc-Russes
36703000,Byelorussians,Blanc-Russes
37001000,Byelorussians,Blanc-Russes
23002000,Catalans,Catalans
20006000,Catholics In N. Ireland,Celtes
36544000,Cherkess,Tscherkesses
65204000,Christians,
36506000,Chuvashes,Tchouvaches
22003000,Corsicans,Italiens
36905000,Crimean Tatars,Tartares de Crimée
34105000,Croats,Serbo-Croates
34401000,Croats,Serbo-Croates
34502000,Croats,Serbo-Croates
34603000,Croats,Serbo-Croates
31501000,Czechs,Tchèques
36526000,Dargins,
66002000,Druze,
20001000,English,Anglais
36524000,Estonians,Estoniens
36601000,Estonians,Estoniens
36550000,Finns,Finnois
37501000,Finns,Finnois
21101000,Flemings,Flamands
22001000,French,Francais
22001000,French,Romands
32503000,Friulians,Italiens
35904000,Gagauz,
36551000,Gagauz,
23003000,Galicians,Portugais
36510000,Georgians,Georgiens
37201000,Georgians,Georgiens
32504000,German speakers (Austrians),Allemands
21103000,Germans,Allemands
29002000,Germans,Allemands
36004000,Germans,Allemands
34704000,Gorani,Osmans
66004000,Greek Catholics,
66003000,Greek Orthodox,
33902000,Greeks,Grecs
35001000,Greeks,Grecs
35201000,Greeks,Grecs
31001000,Hungarians,Magyars
31702000,Hungarians,Magyars
34011000,Hungarians,Magyars
34406000,Hungarians,Magyars
34511000,Hungarians,Magyars
36002000,Hungarians,Magyars
36907000,Hungarians,Magyars
32501000,Italians,Italiens
34404000,Italians,Italiens
34906000,Italians,Italiens
66301000,Jordanian Arabs,Arabes
36528000,Kabardins,Tscherkesses
36556000,Karelians,Karéliens
